Time Now: 2025-07-17 08:14:20.201528
Cutoff Time: 2025-07-17 12:00:00
Now < Cutoff Time: True
Fetching news from 2025-07-16T12:00:00 to 2025-07-17T08:14:20.201528
('2025-07-16T12:00:00', 'RELIANCE', 'Reliance walks fine line on Russia-US energy  Breakingviews', 'https://news.google.com/rss/articles/CBMiqwFBVV95cUxPcGd2Tk9FcC0yMzFhRXpfblBtRFJ4NE1sa3RXUk5naVFjQ2Vad0s4cmFfTVAySVVfRHJZeEFYcEFDQXdWUDI1bFhlUTlsR1BPazlRYTJibW5sTzNBSE1TZThKYnBBSXBRTTU2dl9ObWxIaXRvQnU5emVxTFhTZGtzdHhLOWNlWks2NEdDZmpmWXotTGllZzFDN2JMb0FJWjQxQm1SblVycWhGejQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T14:33:13', 'MARUTI', 'Auto Price Update: Maruti Suzuki Hikes Prices of Ertiga, Baleno Over New Safety Norms  Deccan Herald', 'https://news.google.com/rss/articles/CBMioAFBVV95cUxQTk0xUnM4YmZWUlZlQkdGWElVRV9USEVsZExyRF9kNHZXVnYzekpqd2xIakRfNWR4UlkwcUVlWG02RGoyV0lIZ1dnR05OM3BfQWJaeUpITnpDU1hUd1ZKV2FoSllpcXlCX29NM2lEM3o0TzBoVG5SZzkxdnZEazR0dGlZS0c0WTIxS3NjMHFBX3pGSHBnMTZwN0NYQTVWUk1H?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T14:36:02', 'TITAN', 'Titans 53-Man Roster Projection 2025: Turning Special Teams nightmare into a strength, returner job will determine WR depth chart  A to Z Sports', 'https://news.google.com/rss/articles/CBMiiAJBVV95cUxQSUlzZk5abDV5ZjRXSVdJUjlONFQ1blZfdGd6TmxDY29TNWw1aUhVRTAtQjVqVzFfOExxYXdaQmw2R21vTUtPTWQtR3ZYUGp6VUhfN1pOZUdZT09QUTRwQzJSYkFqZ2dGbndwREs4ZGhjeVR5Ukl2VFJtaDNSaWc3QXlsd2xoZHFPOHhSZmdpcExHa01BZmxUeHJkWjVYdUhTQkhYaDVmWWZiUVV1dnBpbHpXelJGU2MtQXppWVhmT29zbHVNSElTUTFtOWlXbUYxNVRpYzNVRVpPajZJYVlEODd4SFROQUZkUnBXTTdvNDdtTmYzeGZLUGVlOVo0UGRyUTlheC1aTHg?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T14:39:06', 'SBI', 'Trade Spotlight: How should you trade Tata Power, SBI, Punjab National Bank, LIC Housing Finance, M&M, Edelweiss Financial and others on July 17?  TradingView', 'https://news.google.com/rss/articles/CBMiqAJBVV95cUxQSElxNlpzd3FBVDl4TWF0ZHlEOFVZMlZvRmN5eGlXYUpjOFBrUE1ZMm9FT3otVnJqVWQ3Q2R0VUxCMVhoODFHOVlNLTJpVXR0QWUyc2lNV0tNa3pXOGhZOE9qcXVMNXdNZDI5OHBsbmFodE5fTEhqQVRtX3A4VzI1dEk1R0VzaE9Jd3Itb0lXUEtoZloyelpoMmVnSWFBWkVwakhsQWowTlJiTXhBUFBSbnhGZFd0YjNXZkI2dDdsb25SVGR1OFk2Szk2UW9YNkJZZlFiMllQem5MZjdUcE40NTZmaXd0YVpKRXlUN3hOeTBPOHo0RDdsUm1qWEwwQ19XTGJqNVA4c19qYUZQSUg4SVpkOE5KWUx2bjRHdmx0WThOZzB4b2hOeg?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T14:39:38', 'M&M', 'Russian Customs Authorities Seize $153M Worth of Cocaine Hidden in Banana Shipment  The Moscow Times', 'https://news.google.com/rss/articles/CBMiygFBVV95cUxOSldkbVZjaFBkd0NmRC1LdWlNbm90eFRPdjJWNWZqcGZzQzZ2RnJnaDBMeDBNS1ptLUJ4dTFGYWVtb3o2TkV6Tm5HVXI5UnphLWNMcmlWcVpHRGJ4b0J4NGFqX3dnRWhBcDdJRnk1MU9RX1V3cm5jQzN6YkxGempKOFZCWTU1bHpQOGlsRzB5cUkzUUU2dEpqMzJjVHFBX0VmcjI0WlFvLVBQYlA1UFRDMXFVMXkwVTduLUpZanEtQXZxTHFNUml0Y2t3?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T14:40:45', 'HDFCLIFE', 'Analysts see gains in HDFC Life, ICICI Prudential stocks after Q1 results  Business Standard', 'https://news.google.com/rss/articles/CBMi1gFBVV95cUxQbzFmS1AzY2VROGtTMkxRT01keFNKTHBwR2xLWDJYYUtWYzBhLVlCSGI3RC1VX3ZKcl9FcE1YSEwyeHh1d0V5VGhDWmVYY3BNUVppcndpT2dMWDduVUhSa2lCQkRBNGstU2kyVHlhcFBmR3h6aVJKR3h5aVFHc2hqSkRacHUxczBxby0tbTRfcVRRdlYzMmc2UGYtWkFuZHU5NllYdEJna3BTMllEdFM0LXA3ajNKQW9taUo5cW41R2REbi1WWmlpZHpMMFg0N0ZUSGNydmVB0gHbAUFVX3lxTFBXRU4zR2hpSVhFUFMtVWJTaG9nQkMwV1IyTjVzWkRrUU96MUxQN3RJWHE0WVl2WG9Id0ZJWExDeFNnOVhxX21KZ1hKSmlrcGhkRFA2dzRva2QxeUlWQkl1a1lkLWxvcWJLcXVqcDdrdTRHS1FXTFl1SWoxc1dmeTlWQmJsQ2hCSmtjWXZtT2VfRGEtSlo1MG1tcDFFalBEQ0VVMXBrd2J0MmVEdmJicURITjZrWmh5V3RzbVVJR09qUDJ2WHo5c3NUcy1zdDNQX3MtMmJ6Wi1lYVNsMA?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T14:40:48', 'TCS', 'Enabling Real-time Data Modernization in Retail  Tata Consultancy Services', 'https://news.google.com/rss/articles/CBMilwFBVV95cUxOMnA2MUhZbE1NVHlRQ2xoUW5MdDVOWEpSNkZ1dFlLUlhwYXZTTVdIVUxkakYwV21FU3QxOU53cEtUQ3dudkl3Qy15RDk5MWhYV3VqT3FqQ2dKV19RejJaTUs2QTdQbDZ4SEEyb2lESmQ0a2J1REJIeTZIZWVhYzYxVmJjVVB2dHRjT09xZ2FUUGU1M3ZqX2w0?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T14:42:02', 'TCS', 'Accelerating IDP in Canadian FIs with Artificial Intelligence  Tata Consultancy Services', 'https://news.google.com/rss/articles/CBMifkFVX3lxTE1LeHY2VGNEU1VRTlR3ekFhMkpxeVUtdTF3YXdTaFJFRGxlTmFuaTczcWdNQ2FHWWFtTjJUT0tYTXN1R2N6UXQzOHhmVDU2cERqLWNlNmVBN3RmSXJzcmtPMnE2cGc1dTdoNnV0QWE5N1lvVnFtMDFabFN3bG9PZw?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T14:46:46', 'RELIANCE', 'Reliance Power approves Rs 6,000 crore equity raise, Rs 3,000 crore NCD issue  financialexpress.com', 'https://news.google.com/rss/articles/CBMixwFBVV95cUxQLUM2VjB0OERaXzNlc3JJclp1TDdoUkozMjJhMTJnNHdic3NkN093ZXBDdjNYSVFNcnYtbGVmbDE0LW9KSjNaTjZJYnpKWG96dlN3WjJPRVQ5TGFLdzh4anVXZlhjSnpGbENvenY0ZWtnRm1ESjl1UTZZZ0pZcW1NVHgzbGpVLXh3S2I0OVBBQ1lMcG82aFpUWFI2VDQxNGJCZDBuLVR5OHBRUVpWVzR0N21fTEhtWWIwY0FiSVZhLVVRRmdmY2ZV?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T14:50:01', 'SBI', 'SBI Launches Rs25,000 Crore QIP at Rs811.05 Floor Price; Shareholder-Approved 5% Discount Permissible- Check Details  Indian Masterminds', 'https://news.google.com/rss/articles/CBMi6wFBVV95cUxQQTVQMG02dmI5YlNWa042YlJLMDhZLVlqX2k5V2pkMWx6NlMxU0xtRTZ2ZHZmWG9jd2xpbzBZSTFtOE53ZmVkMGFMOTBySmhIelpaenNsdUE0VGRGSU5ZcGU3NTJGYXlRNk1zU2JxaDdHU2RSRzlCd0tEOWhHbDAwcmlvWk42TnU2R013NW13YWs0WWJjRlRWOUxrY0dEajVtR1gzUHlwd0Y2SDZlR2xUa0plbTB3c3RKdzJlbHg0WjloUzZIWlR5Z1Y2aVI0QTdudHVVQUJNWnJhY2g5ZjVnVnJYdmVHVGtDME5Z?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T14:57:47', 'MARUTI', 'Maruti Suzuki hikes Baleno, Ertiga prices after making 6 airbags standard  Mint', 'https://news.google.com/rss/articles/CBMixgFBVV95cUxPU3NMQUNYMURIdzJoR1NHSnBKT2I0NDNoUnZ6Z2FDQlpwOWJSS2Y0TXVTTmhvUjV1M2hUSHFuNEFNdHNIS3lXMVhwTFIyWXZEMDZIZHdCaDR3ZnQ5OWxIay1sZmtxY0N5V05YQUhwTlprc3NBbE94cm5OVXdEa2dkZlE4c1B3VGcxa0FuMUg5T0FwSnU1QjBvakZxRW5XTFVlYmpXLXIyMUE5WGZVWjM1RnRtUC1NNEtZTjVFbHR3cnQtMjF5cWc?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T14:59:46', 'RELIANCE', 'Reliance Power board approves fundraise of up to ₹9,000 crore via QIP, FPO and NCDs  CNBC TV18', 'https://news.google.com/rss/articles/CBMi4AFBVV95cUxPdVA2anNhRHpOd1lDNXpMalduZXptY05Vb25YNlJyWlprUWlxSmRoWkMyOWFNM0k1WGN2eXlJdllJenFuRm4yRldEUVhOYVdOOGctSmN4V3N3cndDZzQ4bGN3WEI1MjJwSGo1MzBMVl9faXJCemxYUFJUZ2M0VnYxbHl6SUk2NGpDa080RlNQOXFndnduRmNPYTNfcXBiNjRTMnhIallQREZIMHpIZ0xoZnh0S3gwaEk0bUNzem9ESmtVWE5lLV93M2R3dGZmV3lOREFySmNjWEs1RGMzanBINdIB5gFBVV95cUxQd2Z3WU8yUWVySlhnSXFjZmJGTFZMOG9jUWF1ZHVkX2NRNzdYT0FETUN0UXBHVkROSVdFLXA5b1pBWWJRbWRyNE4wTGpBYXlvU1l1RlFLUUpxeDVIeUFvUWRoUGZPOHh3bXNLeDI4bEhraFJSTm9mNFpqSWNDLTJNdmZtVjdhSmRWWDVES3BiNDZlcXRQSVJuUy1BQUE1QldCZlZ0cjFsQS1hTDExanZ4c1Vxa0FuYjVsdWxzQk53MHA5NldZUkFZRHA2RVdmeC1iOWNMR3FsNnR1aE9XVFYxV0hzd3BaZw?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T15:00:02', 'TITAN', 'Former Titans RB on Way to Hall of Fame  Sports Illustrated', 'https://news.google.com/rss/articles/CBMijwFBVV95cUxQU2RWMUpKZUdValFOQ19YTmlaTnBwaXl5WkNRbWhtRHVmeFlMRmVZMjZzNFNlRG5JQldjb1NFTGQzdUliMFhXUlZaUnR0ZWoxQWJGMGJVZ0VBRThFR2Z2T2dZS2lJa05LVGVueDJNR0FZa0o1ZFZFc2UyNXJIQUt1S2lDZ212bDd3b25uU1l1RQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T15:00:06', 'KOTAKBANK', 'Kotak’s Vaswani highest paid bank CEO in FY25, draws Rs 12.95 crore salary  BusinessLine', 'https://news.google.com/rss/articles/CBMi3wFBVV95cUxNeDZSYUc4b2V0WV9rNFpaRDJPUFkzQkpVSnhzZGxHS0hWdDZaZnV2NzAwMFhlclJqRVdtTUhpTXhwSnpPdGwzWHUwb1gyV1NJb3dkRjJmOW5RQWcwN1VLOFp3Nl8zU2pocmxkOG0tSHBGRUdmMEdEM3JXV1JKQjdzb080ZEdRTVlvMnpSSUhSZFhnajYyQVl4bW1xaVBwc2ZMc1ZjdTAxWmFTbzMxaVJyY0xCQUpnc1BubDU0QmNsaWtfYVpZVnFHSDdOVmtzUmpsRzBOb29kVzkzUTNRSjZv0gHmAUFVX3lxTFBtWjhWUmJ4Znd5T1NtOTNFVUNSME96SXlpV2tuX19DY2hSN0xDd2FpZ0pUV1haQ09Yd3ZwN3F1ZTBEaDFJYjU4cVQ3eVA2S1k1ZWY4Ulc3ZDJ6d1EwUWJnbzJ6WGsydEJhbGJOVERZTmxvWUdlaFNRcW9ieTN1ZWdVcmpjeFVYTGhlWmhkX1hCZU8wX2FVMFNkVnI5aHZKc1FiLVdlaV9oLXJxVHFnSHB0cmhSMlZrak5obTV3a0huRWM5VUR3X0FoSHdmQUcyb2gzdzRTMUN5TE9mMGtUanU1eDlwbGJR?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T15:02:39', 'SBI', 'SBI launches Rs 25,000 cr QIP; floor price fixed at Rs 811.05 a share  The Indian Express', 'https://news.google.com/rss/articles/CBMixgFBVV95cUxNeVJtS2xRdnFSLW5jVzlxVXIzRXhfRzRORk9YOXp5WG1QWUZDTGJNcEtDNmYtV3NIQWhpZ0VtSmtRSDN3ZFZqbXZ2cmtCODJ3a0dyWGRycm9PMVdFaEJ0Z0RlVkZkRmpyUFFnV3BTMWRNYTBGaEpVTDJjQ1RYcURaV29xWXIxa2lfZnZxbFAyTnpfTGNKZVhnTkhVWk0zaWszYjUyV19IUTZWMUFBNkNBVVdVbWo0RVNFTC12amxNdUJVYVc5c2fSAcwBQVVfeXFMUDVabzhSZlhuaXNybVpUc2ZYZXpaVEJZTEJIZmRpVVhlX2FDY29jbG5yeFNpNU9SdDRwdDVvZDNHT0ZkYlp1R2haREhPNVJvRTZTT1lPNUVSanZVZDAzOG11QmpYN2RDbmt6a3JaZEE2NzF1Y2RGVDNEWTItd3A5bFZ2VnF0ZjFoUnJyUWpnUWJLZkl4aUVtT2pDZHVPb1hPYUZpR0lwN0ZlT0FOeXI2Uk1Qazl0ckpxaDYzWEVhUG1BQTM0bGFHWWFVaGJF?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T15:05:03', 'WIPRO', 'Wipro flags overhang of uncertainty on demand  financialexpress.com', 'https://news.google.com/rss/articles/CBMiqAFBVV95cUxQdW1YXzhCREZZcEJjMUdpcG9CRXNpcGEtblhSSUFXUTQtS2w5b08yMFFCQVp1bUlQSW9uR3NwUW9aVWk3QkhpNFFzc1gwRkNiQURpZXRpVW13a1d6Y1UwQjBnaUJ0RDYzSktEaE5ZbE1UUVNQQlhzSUN3U0hEcTRfYWh6S19DSjd5cGlreS1ka2ptQWVBQXZfQnZ5TFhkTkFLQlo5WVROZFM?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T15:08:00', 'TCS', 'THE PALEY CENTER FOR MEDIA PARTNERS WITH TCS TO PRESENT CONVERSATIONS WITH THE INTREPID LEADERS WHO ARE TRANSFORMING THE MEDIA AND ENTERTAINMENT BUSINESS  PR Newswire', 'https://news.google.com/rss/articles/CBMiswJBVV95cUxNZ2tjTHE2cGZxVF9GZzVncHBJbDg5dkxCcHB3YUloMGJYMVNlY3lFanpiUmpkOVl1Q1lNNURZTTEyd0ZMeGpJcnhZeXhiUWUxaGtoaXIzclFFdk9wNTVFaVFsTjhOWGNKd3BnV2lQMFNtWnJZQVlhZWM0MmRkRmVycElTeFNJdXZMQUROUHF1bmpiUWdMRzAyVFctdkxiUlAtWUJxZmZKaWlKOWtSc09jOGpYN2RVQ29wc3JOenBQWmVwQ0tHZDdjbUlPWGQ2VDB1d0hiSU5GajNYWHVaMDh0ektpQ3VvV1BLNjdKMFo1RDdLVVV6ZXJpOUZXelM1QWVhOHAzWENjNHBNYjlsSWVycnpMMGs3eEJKdE1lWnpQTDdwZzFKSWdNMDBTRTVzc0haZWxB?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T15:09:16', 'HDFCBANK', 'HDFC, Axis Bank see sharp drop in attrition in FY25 amid training push  Business Standard', 'https://news.google.com/rss/articles/CBMiywFBVV95cUxNZEpzbERZQml2eENVN09rby1UMDExTjRfbWRkZTJ3Rk1VWi1URGxWWWhabkJzdDJpa0hRVjNIaTh3STBtbHpHTFJPcVd3aTBBYW03cVctSUZva3VVb2prSUxzaElRTWN2TV9vNFN4X3dzam1WalZHMk1mV2k5NlVCNlBJRHdobGtGTUdDQ2ZxQzFwSThKSjlKV055YTBsV1FTV1V6THNtcEh4X2JLNWd3a0pmaGQ0UHlmSWtqNTh3bjRPN1JISmJSV2xORdIB0AFBVV95cUxOb3FSUXlQUS1MSHhsNi0zdFNsMllNVEhqeTl6ZTYzTGpwck10MHFXRlNJODlWMDJtSWJUc3pPX29VcnMxb0FCNTJMbkQ4Y3U3cW9kUHZHZkVDRmEyTjdZVG9zRGZQUUtDYXVNSldvRU1NTzE2N2Fid01UNXFtbjJ4R05Ld21zaFpmdnFEUndqUC1Pb1JHZE9Xc1FRWTNNT1pCVHVydHJydHozVzBpbC00UTJ6REU1LUswRDEzUXdzRmsxcnVZdEtiXzcyOGtUNVJ4?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T15:09:16', 'AXISBANK', 'HDFC, Axis Bank see sharp drop in attrition in FY25 amid training push  Business Standard', 'https://news.google.com/rss/articles/CBMiywFBVV95cUxNZEpzbERZQml2eENVN09rby1UMDExTjRfbWRkZTJ3Rk1VWi1URGxWWWhabkJzdDJpa0hRVjNIaTh3STBtbHpHTFJPcVd3aTBBYW03cVctSUZva3VVb2prSUxzaElRTWN2TV9vNFN4X3dzam1WalZHMk1mV2k5NlVCNlBJRHdobGtGTUdDQ2ZxQzFwSThKSjlKV055YTBsV1FTV1V6THNtcEh4X2JLNWd3a0pmaGQ0UHlmSWtqNTh3bjRPN1JISmJSV2xORdIB0AFBVV95cUxOb3FSUXlQUS1MSHhsNi0zdFNsMllNVEhqeTl6ZTYzTGpwck10MHFXRlNJODlWMDJtSWJUc3pPX29VcnMxb0FCNTJMbkQ4Y3U3cW9kUHZHZkVDRmEyTjdZVG9zRGZQUUtDYXVNSldvRU1NTzE2N2Fid01UNXFtbjJ4R05Ld21zaFpmdnFEUndqUC1Pb1JHZE9Xc1FRWTNNT1pCVHVydHJydHozVzBpbC00UTJ6REU1LUswRDEzUXdzRmsxcnVZdEtiXzcyOGtUNVJ4?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T15:09:55', 'LT', 'Department of the Air Force releases latest U.S. Space Force field grade officer promotions  afpc.af.mil', 'https://news.google.com/rss/articles/CBMi1wFBVV95cUxQVTVIYVMwODNTdDlkMV9VdklOd3hkZ2lBY25MNVNsR0ZVR1hpWkFnRmFwMDZQUjEtSDd2TWJSb1ZqbldBRDFua0lhdUgycW1TQ3Y5UDc3enZxS0VJTkdGb3pZVDRMcjd4Y3Nocm9fVkZXVVd1MTI2N1lraVNFdTBvSy04RFNzUmdFVmtRcEh6Y1dBc2pkckNZRzdwcGF1czhjYUpvcl9PODhtU1FrRUd3cTl4alM2Zjg4VXFubHBqMnBwZmFNZTlGcXZTRFZjeWVIcFdWQ2dlYw?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T15:14:13', 'WIPRO', 'AI helping us uncover new growth opportunities: Wipro Chairman Rishad Premji  The New Indian Express', 'https://news.google.com/rss/articles/CBMiyAFBVV95cUxNT0tLTkM4SlgwV3ZIOTFadXNmaGRudG1LSHlXc0tZSUVrTk1CNGxObm9saGJVVGk0bGx5bE14UUwwVlRDNlhvY0NiUmVvakRpWS05OGNHNU1tTVlMckJKZUx3VFJUVFRrWURMY3BQYW11Z1hUX09pZHBTRXRvZlc1c1M0R0hYOEdzWXJ5aUotcW1WX08wOGItbnY0YWdDM1hyZ0dFUDlWbVZCbzZraW5ncTZJMjBHZ2JfdW9OYjZzdFZIYTJTWTVEOdIB1gFBVV95cUxQV3l0SVRHWlBRYktJaG1tcGFuYlJCU2Vnb29vM3U1aW9NbnFqTnlvbGtJRG9FaU5Bdkk0UnFZR1hTVWdxdEJKTUdjYkxDU0hSUWtYUkx0bGdmRFpqREVpVUpnR2gzTkxIYUZzak9ETG1ybDZhYWhGd3B5RkZab09nVFVKUXpmX1VhMUYxb1Z6cUd1cmZOSjlFeFgxWUk0Y3M3WUxuQjBMWU9mWmdBSmZrWHBoVW16VlZvMjc2TzJLMGtVNkhqNC1TbDdRYmVEaTBJSUJNTF9B?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T15:21:00', 'SBI', 'SBI searched apartment of deceased pilot "Juice", causing his mother hospitalization – Suspilne  ukranews.com', 'https://news.google.com/rss/articles/CBMixgFBVV95cUxNQ2JXWDBEbnVkbm1kd0VOdHNuQkpuOGxTTEg0N0tfbHA5T25vWXM1VHpSWTd1VlZIM3hYSnpJTXRZUUVMcm1NZlVENXZseXdPalVfSWxEdzFsOXBaVU1helFXX1RyNFA0alZlZEIwbEVWOFRfOTdsbFFXckFmbTh4SGE1US1WcmtBYkxtVVJBZm00endRZTlHQVgzYV94Y0lrenAwNkxaeFFjYjR3UTdfS1VyaWkxN1EzMmVseDdqRXBpQjFjeHfSAcsBQVVfeXFMTzNaYXNMOHJNN3AxV1JQWTBYWmptZk50b1dfSzBXTUwxbVhzbFRRZG42T2xLOXRXMkNHQXlaSU5kM19ST1M5MmNOdnlGUDJ6MDM4Z1g2WDRfYkJXT3p6YmJ3cVFKQWlxNkhZeF9vTkFETDlCRlVBX3o4dlZVTUNQZDYwS0hONG1VZ0d3MDJlM2VCUlFIemxnVEE5LXBPeVNGa1pGTW5SdC1kLTJpT1B2ZEV6ckR4UmxHTHREUEVzc1F5WWJDQ1VwRXRFSEU?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T15:25:08', 'HDFCBANK', 'HDFC Bank Bonus Share Buzz: Is banking behemoth preparing first ever such payout? What investors can expect in earnings on July 19  MSN', 'https://news.google.com/rss/articles/CBMiqwJBVV95cUxNdWFFNVNwTW9MUXNBTGd1WWxHUFpLcjd0ckkyOW05M2ctZHZ4cjZ5ZVZ5UWRJM3c1MWVmOE5lM2lkRm91YUw4VGh3dVFpOXRyZERSZm82WUVfZ0hSWXg1R2o2Rmg4WlFDdU9PSWFqV0lSZWtYVllWMkVlMWtvYjhURmdsbEJWWGpvdTFfWEtlVW53V3lNQzQwV2UzUjFnUFNaT0pFdC12bmZvak81bngzRm9qeVRSZ3c3a0ZkeUEwenlGWVpXTmN4Z0hUWG04NUQxbkRSOWx3ZHoxeDNHTVdZR1BqY2VCMDRvYVdwdWNHdnhZcWZxdS1FSXJMeURVdTR5TnBwR3oteVpCdExCSkVaSEJPWG8tajFHREVJeHNHVEtLR0tFSE9makFQQQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T15:27:37', 'MARUTI', 'Maruti Suzuki Hikes Prices Of Ertiga, Baleno After Standardising Six Airbags — Check Details  NDTV Profit', 'https://news.google.com/rss/articles/CBMivgFBVV95cUxQakdua2x3Qkp5el9peDU3UXJFZklKUkIzaHpMNTZJNlpMRE9XeXJiUkVsQUdmaHM5cnBQSE55VzNZTnpYLU4yVXpXT3BRdDlPcXF3UGxkUUdoQ2FOZEphX3ZhNkZiR2xQWUR3bkRmamVFX1ZTaHdTLWFDdTlWOU1vTGRYdDJUV0d5OF9xSDdha0FocjJvLUJQUkI2VHFEMWdwWldxaHllUGFpQVdKajhxSjY2ZUFXbFFvdk9uUEZ3?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T15:30:00', 'ITC', 'ITC Hotels posts highest ever Q1 revenue  ET Hospitality', 'https://news.google.com/rss/articles/CBMixwFBVV95cUxPeFdacjlPblRyWXpNQTZvNmxBMDBzMDZJNV8xTWJmcHBtNWQ4bEtCOUY0NjlIYV84TktyZVNPRTNqTjNZUzkzLVM1UlZBT0l1ZklucTNpVGRMUjBXTmxZdTE5a2NLb0VMd21XbUVsMmZud0ZPSDVOYng1U2FWSnNzV2QtUlN4ZFhDbG1lYWpwdlprVkJ3ZzlKLUVoOTA1Q3lzV1N1M183V0IxQTNWRDhlbWl3SWVjN2tYZEpCSHE5XzRsVTFZak1Z0gHMAUFVX3lxTFA3V2VhLWZlcTRleXg1V3FVdFdXVzBEanpOZ3kxYkNzc1haYXBZanRnQ0hXblhuNU1IZnh4T2NOd1lmSXk2dUhNa29uVkRDZTktU0JNU3Y2Q1lNOENETnJSb3VnN3E4TlpxT05MRU14S3RQbzJaSHRyQk1XSFZMS0hyN0JRdFVrUXJ5Y2JCN1UzZjRXc1VqbTdPYUZMb2hXdDdnQlRfUnR2b0pHLXJrRVhkUU5MYlRIMFhNXzY2eTVWQ0xFdDZsa2xrUlBlbA?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T15:30:00', 'LT', 'Former A&M DL LT Overton expected to make an impact at Alabama  Bryan College Station Eagle', 'https://news.google.com/rss/articles/CBMiqgFBVV95cUxQakdIWGRGVmluVU1CbUJwZlJfTWJlWl9RRmF0YUdKblhwWS1ObjB3MzVPMGNwc1RJc3BxLW4zRlVTeWZRdmhLSi1WVy1oYnRSWkt1aTZLbHVsZUVFbXJlQktMZVA1YWxrYS1aSjNTNGpMamp3TURMXzVXaUtjMld2MHpvNGNyMnhPTGtXQkVUd1BZbTktbm1DOG1RaGEwRUEyTHdGWUU4UzZPdw?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
('2025-07-16T15:32:42', 'NTPC', 'Leadership Continuity: Gurdeep Singh to Steer NTPC Through Clean Energy Push with One-Year Extension- Know more about Him  Indian Masterminds', 'https://news.google.com/rss/articles/CBMi9AFBVV95cUxNUHVpS1VieXB1R21uS3pKUElXUjlYX1VpZExTXzhUdGpoVWVnSDRmQkxpWkJCV1l1YkpPZzZUNXhRbk1HLVZaUHdYeTRmLVplaFRyUzZDb1RkaW5BQ0lncVVTTGRiWDduWnByc3FTQ1R6VnN1enQzQmNEX2cxNGpOVWsyWW94ZGF5S1h0QURZT1dfNUg4ckpfa3BDcW5xRkp3cW1tZnMyN1dkUDFOTF9GM0tmN3BlTktvS3RsUnplX2s1b1ZSNERqdjdZbnJjLVlfVUtaQXpuMzg0M2VUaW84b3k2MDhnYmZpSmJBenpTenh2WHF1?oc=5&hl=en-IN&gl=IN&ceid=IN:en')
